ID	Type	Arr. Time	H1_Wait	H2_Wait	H3_Wait	H4_Wait	H5_Wait	H6_Wait	H7_Wait	H8_Wait	H9_Wait	H1_Play	H2_Play	H3_Play	H4_Play	H5_Play	H6_Play	H7_Play	H8_Play	H9_Play
21	slow	154.272086612	59.545784	15.759392	1.199619	0.000000	0.020300	1.861819	1.555020	2.561255	0.000000	10.733171	9.498632	11.558811	10.098130	8.474576	10.806212	11.247069	10.735103	10.982264	
28	slow	200.442716156	29.907172	8.114962	3.860367	0.000000	0.000000	0.000000	0.606436	4.233485	0.000000	11.344217	8.898064	11.490609	9.798479	11.443237	10.724365	9.062873	12.156412	9.316037	
29	slow	209.409719441	32.284385	6.540031	5.779262	0.000000	0.000000	0.060007	0.259589	6.832171	0.000000	10.472994	9.571715	12.508567	10.424372	8.973136	9.409720	9.557726	10.613678	10.083564	
34	fast	279.466528168	1.468403	3.740153	3.484068	7.231451	3.034022	5.253258	2.477901	3.865214	4.700529	3.725633	3.969250	3.771415	5.736272	5.081344	6.860270	3.531888	5.383035	5.223119	
35	fast	282.068421231	2.592143	3.828686	0.770421	9.964122	2.992275	8.464562	1.613409	4.262230	4.503596	3.880717	6.485062	3.003601	5.123091	3.648965	4.396380	4.986019	5.420052	2.831867	
30	slow	212.055224188	40.111875	4.624009	7.907628	1.137009	0.000000	0.000000	0.000000	18.200189	0.000000	11.487736	10.380201	9.287362	9.865857	8.770294	10.334602	9.338170	8.126431	11.259727	
32	slow	265.501042028	0.000000	3.698336	14.228334	4.714247	0.000000	0.000000	0.000000	6.125457	1.742169	9.459667	9.741672	10.372967	10.156471	9.551460	9.315009	8.761927	9.517557	9.521401	
33	medium	269.094398135	5.866311	17.920099	8.970267	8.552733	4.848666	1.511104	4.038255	7.129418	3.755490	5.974222	5.176722	6.317985	4.702794	7.803905	4.723672	8.513596	7.508080	5.557692	
36	slow	285.763621773	2.777660	7.171025	5.130841	3.701072	2.462134	0.000000	0.000000	2.542885	0.000000	8.319446	10.157410	9.554454	10.190437	9.580978	10.545374	10.754889	11.323414	9.606442	
37	slow	288.951279623	7.909448	8.778963	4.947894	3.976248	0.826802	2.505051	0.904025	3.933465	0.000000	8.549472	9.737402	9.915262	11.216310	8.040323	9.850863	9.932834	10.673259	9.048511	
38	slow	298.402616903	7.007582	7.382520	4.815741	5.837561	0.000000	1.146286	0.432866	3.956322	0.000000	11.133845	10.047415	9.354997	10.270110	9.806643	10.403994	10.650401	11.640488	9.544774	
41	fast	344.351428965	4.644728	4.860510	3.594116	0.430797	2.300717	7.167498	7.203895	1.368725	6.452698	5.788886	4.959543	6.474561	6.131690	3.721755	5.280503	4.010034	3.092075	4.193040	
39	slow	310.583184029	5.960860	8.461155	4.537945	6.725493	0.000000	2.072332	2.266346	8.470834	0.000000	8.968780	9.632792	9.382178	10.852183	8.432407	8.816921	10.218051	10.806490	11.099662	
43	fast	351.620661463	3.164382	5.761643	4.374611	2.162304	0.000000	8.406363	4.112604	9.797081	5.897578	4.058409	5.694067	4.400183	6.357839	3.706271	7.101325	5.470209	5.202084	4.060623	
40	slow	339.291272789	0.000000	0.000000	0.000000	19.394887	0.000000	0.000000	0.000000	6.358795	1.425894	9.704884	10.649396	8.553659	11.839143	9.204866	7.764486	8.628646	8.532307	11.107689	
44	medium	376.408637105	0.000000	0.000000	0.000000	2.227516	1.716405	0.000000	3.985951	7.532314	5.503586	7.747191	6.716413	6.333486	7.488461	7.991708	4.415472	7.358788	7.029997	5.769995	
45	medium	384.241581578	0.000000	0.000000	0.000000	1.754663	2.604568	0.000000	1.902791	7.360025	2.724882	7.202775	7.112966	6.609719	7.103545	7.784165	6.073257	7.202286	8.548698	6.522173	
42	slow	346.317788175	12.525664	3.316724	0.000000	23.532064	0.368834	0.000000	0.000000	0.789087	0.000000	8.138986	11.606224	8.587799	10.019899	10.445208	10.354636	9.498125	10.314393	12.043578	
46	slow	390.728342601	0.716014	0.000000	0.000000	1.086862	0.000000	0.000000	0.474844	0.757761	0.861439	9.357859	11.176431	10.979640	10.937361	11.910957	7.343641	10.345719	11.182138	9.765372	
47	fast	393.786842455	7.015373	4.723505	5.332019	8.445369	8.484649	3.222525	3.873239	5.267062	5.890636	6.452926	5.647621	3.578854	3.426308	4.121116	6.947324	6.672837	4.736176	5.279683	
48	medium	399.772648512	7.482493	3.900403	2.391731	3.528652	6.300506	3.514554	3.199859	3.709630	5.095319	6.470722	6.519142	8.343024	6.305259	6.655296	7.346217	6.293607	6.075000	7.384470	
49	medium	406.994350675	6.731513	2.626371	2.643522	2.216154	6.083175	4.900575	2.839426	4.355965	4.328126	7.793175	8.091233	7.617758	6.872627	5.960196	6.654041	5.428665	8.151663	7.889998	
50	slow	408.655389233	12.863650	0.588198	0.677314	0.000000	1.872844	1.797682	0.000000	2.659184	0.121233	10.129405	9.583966	10.390005	8.869303	9.756933	8.347963	9.768572	12.096891	10.977629	
