ID	Type	Arr. Time	H1_Wait	H2_Wait	H3_Wait	H4_Wait	H5_Wait	H6_Wait	H7_Wait	H8_Wait	H9_Wait	H1_Play	H2_Play	H3_Play	H4_Play	H5_Play	H6_Play	H7_Play	H8_Play	H9_Play
28	slow	200.442716156	24.108326	10.088161	1.131305	0.000000	0.000000	1.867642	2.967900	2.918882	0.000000	11.344217	8.898064	11.490609	9.798479	11.443237	10.724365	9.062873	12.156412	9.316037	
29	slow	209.409719441	26.485539	8.513230	3.050199	0.000000	0.000000	1.927649	2.621053	5.517568	0.000000	10.472994	9.571715	12.508567	10.424372	8.973136	9.409720	9.557726	10.613678	10.083564	
30	slow	212.055224188	34.313029	6.597208	5.178565	1.137009	0.000000	1.674353	1.844177	6.793076	1.957133	11.487736	10.380201	9.287362	9.865857	8.770294	10.334602	9.338170	8.126431	11.259727	
31	fast	221.840663387	36.015326	11.178563	10.248297	6.213022	2.689013	6.437556	6.317124	11.653715	8.027125	5.798846	4.217631	4.789844	6.081281	5.571399	4.865223	3.265791	5.189735	3.491073	
32	slow	265.501042028	0.000000	4.090320	5.296469	1.921336	0.000000	0.000000	0.123168	8.081523	2.000640	9.459667	9.741672	10.372967	10.156471	9.551460	9.315009	8.761927	9.517557	9.521401	
33	medium	269.094398135	5.866311	7.857771	10.492714	5.759822	4.848666	1.511104	4.161423	9.085485	4.013961	5.974222	5.176722	6.317985	4.702794	7.803905	4.723672	8.513596	7.508080	5.557692	
34	fast	279.466528168	1.468403	9.308859	12.841448	6.691201	6.916299	1.153431	5.814749	13.061676	4.188619	3.725633	3.969250	3.771415	5.736272	5.081344	6.860270	3.531888	5.383035	5.223119	
35	fast	282.068421231	2.592143	9.397392	10.127802	9.423872	6.874552	4.364736	4.950257	13.458692	3.991686	3.880717	6.485062	3.003601	5.123091	3.648965	4.396380	4.986019	5.420052	2.831867	
36	slow	285.763621773	2.777660	7.563009	2.973993	4.992509	0.333080	0.000000	0.000000	6.694896	0.000000	8.319446	10.157410	9.554454	10.190437	9.580978	10.545374	10.754889	11.323414	9.606442	
37	slow	288.951279623	7.909448	9.170947	2.791045	5.267684	0.000000	1.202799	0.904025	8.085476	0.000000	8.549472	9.737402	9.915262	11.216310	8.040323	9.850863	9.932834	10.673259	9.048511	
38	slow	298.402616903	7.007582	7.774504	2.658892	7.128997	0.000000	0.000000	0.000000	7.558431	0.000000	11.133845	10.047415	9.354997	10.270110	9.806643	10.403994	10.650401	11.640488	9.544774	
39	slow	310.583184029	5.960860	8.853139	2.381097	8.016930	0.000000	0.926046	1.833480	8.980868	0.000000	8.968780	9.632792	9.382178	10.852183	8.432407	8.816921	10.218051	10.806490	11.099662	
40	slow	339.291272789	0.000000	0.000000	0.000000	6.431930	0.000000	0.000000	1.418411	11.158712	2.567354	9.704884	10.649396	8.553659	11.839143	9.204866	7.764486	8.628646	8.532307	11.107689	
41	fast	344.351428965	4.644728	4.860510	3.594116	11.796512	3.073176	4.042730	4.766554	15.680985	10.582968	5.788886	4.959543	6.474561	6.131690	3.721755	5.280503	4.010034	3.092075	4.193040	
42	slow	346.317788175	8.467256	1.681066	0.000000	7.802857	0.000000	0.000000	0.000000	3.349945	4.461616	8.138986	11.606224	8.587799	10.019899	10.445208	10.354636	9.498125	10.314393	12.043578	
43	fast	351.620661463	11.303368	9.228881	2.893732	13.422574	4.087369	6.648365	2.396801	8.194129	11.303110	4.058409	5.694067	4.400183	6.357839	3.706271	7.101325	5.470209	5.202084	4.060623	
44	medium	376.408637105	0.000000	0.000000	0.000000	11.773987	0.305179	5.757981	3.451537	6.037424	8.333736	7.747191	6.716413	6.333486	7.488461	7.991708	4.415472	7.358788	7.029997	5.769995	
45	medium	384.241581578	0.000000	0.000000	0.000000	11.301134	1.193342	2.389289	4.737069	5.865135	5.555032	7.202775	7.112966	6.609719	7.103545	7.784165	6.073257	7.202286	8.548698	6.522173	
46	slow	390.728342601	0.716014	0.000000	0.000000	0.613434	0.000000	0.000000	0.000000	3.255563	0.895066	9.357859	11.176431	10.979640	10.937361	11.910957	7.343641	10.345719	11.182138	9.765372	
47	fast	393.786842455	7.015373	4.723505	5.332019	7.971941	8.484649	3.222525	3.398395	7.764864	5.924263	6.452926	5.647621	3.578854	3.426308	4.121116	6.947324	6.672837	4.736176	5.279683	
48	medium	399.772648512	7.482493	3.900403	2.391731	3.055224	6.300506	3.514554	2.725015	6.207432	5.128946	6.470722	6.519142	8.343024	6.305259	6.655296	7.346217	6.293607	6.075000	7.384470	
49	medium	406.994350675	6.731513	2.626371	2.643522	1.742726	6.083175	4.900575	2.364581	6.853767	4.361753	7.793175	8.091233	7.617758	6.872627	5.960196	6.654041	5.428665	8.151663	7.889998	
50	slow	408.655389233	12.863650	0.588198	0.677314	0.000000	1.399416	1.797682	0.000000	4.682141	0.154861	10.129405	9.583966	10.390005	8.869303	9.756933	8.347963	9.768572	12.096891	10.977629	
